"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
91,"2.48800357777574","-1.33452261200084","-0.905684378595377",1.58231919918036,-2.24020699059622
92,"2.39367196792751","-1.30158050651316","-0.831788428759375",1.56188353916813,-2.13336893527253
93,"2.30313317242456","-1.17376960707976","-0.892453470918946",1.41067970150561,-2.06622307799871
94,"2.67253348988388","-1.50103649793743","-0.559540342037778",2.1129931478461,-2.06057683997521
95,"2.00611399209055","-1.07700215295366","-0.761938115932617",1.24417587615793,-1.83894026888628
96,"1.80798587847814","-1.2060559326558","-0.645559110813788",1.16242676766435,-1.85161504346959
97,"1.72744578005588","-1.20605593265581","-0.645559110813785",1.08188666924209,-1.8516150434696
98,"1.62955918178417","-1.20764641306212","-0.639033571440046",0.990525610344124,-1.84667998450217
99,"1.64234045575225","-1.20764641306212","-0.639033571440046",1.0033068843122,-1.84667998450217
100,"1.50687765250106","-1.11776881169865","-0.680340983149478",0.826536669351582,-1.79810979484813
101,"1.53660881232824","-1.11776881169865","-0.680340983149479",0.856267829178761,-1.79810979484813
102,"1.48569760116714","-0.996582205766248","-0.777337748591676",0.708359852575464,-1.77391995435792
103,"1.22045956796679","-0.996582205766247","-0.777337748591676",0.443121819375114,-1.77391995435792
104,"1.28222874501969","-0.953477548305602","-0.686719990237172",0.595508754782518,-1.64019753854277
105,"1.24674162331981","-0.879717879302894","-0.694430886243273",0.552310737076537,-1.57414876554617
106,"0.824365840495464","-0.922193010597881","-0.541195933613848",0.283169906881616,-1.46338894421173
107,"0.785628694963335","-1.10241123524002","-0.371983361294906",0.413645333668429,-1.47439459653493
108,"0.606848265736469","-1.02492168880489","-0.305136901031417",0.301711364705052,-1.33005858983631
109,"0.218561114569744","-0.907421659485412","-0.324155407358741",-0.105594292788997,-1.23157706684415
110,"0.241321935763907","-0.770362834902713","-0.329362330484817",-0.08804039472091,-1.09972516538753
111,"-0.231354128255153","-0.722519934199006","-0.268362328988368",-0.499716457243521,-0.990882263187374
112,"-0.158750575031745","-0.815853893403878","-0.161533457327091",-0.320284032358836,-0.977387350730969
113,"-0.281838623011809","-0.824588954779135","-0.0639309959645431",-0.345769618976352,-0.888519950743678
114,"-0.23497596361476","-0.886388651571033","0.0215399620883597",-0.2134360015264,-0.864848689482673
115,"-0.435060643574863","-0.732555141643636","-0.0036131726245032",-0.438673816199366,-0.736168314268139
116,"-0.327614643435154","-0.833186747070609","0.0970684127188393",-0.230546230716315,-0.73611833435177
117,"-0.410588770135052","-0.840581993220315","0.216533438686802",-0.19405533144825,-0.624048554533513
118,"-0.0946063225285894","-0.988240357949628","0.355836218266787",0.261229895738198,-0.632404139682841
119,"-0.175991889364756","-0.961801776286292","0.455244208081528",0.279252318716772,-0.506557568204764
120,"-0.944840792116315","-1.1151107870396","0.586794506473083",-0.358046285643232,-0.528316280566517
121,"-1.09605585477396","-0.995347629119547","0.591932335149248",-0.504123519624712,-0.403415293970299
122,"-0.827878414117489","-1.05581388878128","0.667224475497238",-0.160653938620251,-0.388589413284042
123,"-0.904017274948691","-0.938184086992178","0.679788704923159",-0.224228570025532,-0.258395382069019
124,"-0.704735256920728","-0.993048293819228","0.745174747980375",0.0404394910596469,-0.247873545838853
125,"-0.57779813227677","-0.90468312214014","0.743121962978919",0.165323830702149,-0.161561159161221
126,"-0.342216385013254","-1.04295428241866","0.867642960324448",0.525426575311194,-0.175311322094212
127,"-0.230005600351772","-0.926299994918136","0.877065805182964",0.647060204831192,-0.049234189735172
128,"-0.0356246261501633","-0.968283268173547","0.947613194431378",0.911988568281215,-0.020670073742169
129,"-0.00535190381636873","-0.803302396769824","0.934660725965427",0.929308822149058,0.131358329195603
130,"0.177043692427364","-0.753895407741597","0.961506897297481",1.13855058972484,0.207611489555884
131,"0.3111569633607","-0.745390639298161","1.01290828643397",1.32406524979467,0.267517647135809
132,"0.37131191652777","-0.705838231903268","1.03578522958417",1.40709714611194,0.329946997680902
133,"0.289605573842079","-0.557863594993898","1.02651744262949",1.31612301647157,0.468653847635592
134,"0.436182677211652","-0.564674186985279","1.02712658385012",1.46330926106177,0.462452396864841
135,"0.492580347975481","-0.509183904954067","1.02587473636402",1.5184550843395,0.516690831409953
136,"0.645594114304389","-0.565837364046538","1.00787742026719",1.65347153457158,0.442040056220652
137,"0.492410077327431","-0.469748018681078","0.998500147239861",1.49091022456729,0.528752128558783
138,"0.669299603857369","-0.480714691586669","0.962527642959738",1.63182724681711,0.481812951373069
139,"0.429520584619835","-0.383446938410617","0.962203631392912",1.39172421601275,0.578756692982295
140,"0.638777664648187","-0.394337200905368","0.941358598927946",1.58013626357613,0.547021398022578
141,"0.588089083794537","-0.391985729897539","0.937241642570848",1.52533072636539,0.545255912673309
142,"0.577837320141948","-0.382865716779013","0.917611390783067",1.49544871092501,0.534745674004054
143,"0.51456213838503","-0.346736714558908","0.918385748838178",1.43294788722321,0.57164903427927
144,"0.719181781000259","-0.512874783979858","1.05362145827316",1.77280323927342,0.540746674293302
145,"0.671387754374347","-0.500234798814871","1.07244398145704",1.74383173583139,0.572209182642169
146,"0.663345575240967","-0.556299045907257","1.20548858111368",1.86883415635465,0.649189535206423
147,"0.141590646675083","-0.610776740402689","1.29409539647291",1.43568604314799,0.683318656070221
148,"0.165307820470373","-0.692976568393748","1.43303391884499",1.59834173931536,0.740057350451242
149,"-0.0118864079331305","-0.518664859769941","1.45923687919206",1.44735047125893,0.940572019422119
150,"0.755620574993887","-1.22731490844486","1.82534707591912",2.58096765091301,0.59803216747426
151,"-0.149464031242152","-1.01743149468725","1.83343565134331",1.68397162010116,0.81600415665606
152,"0.111873838359132","-1.02389989937084","1.83171369658444",1.94358753494357,0.8078137972136
153,"1.10904839298281","-1.90037568874754","2.26888389299404",3.37793228597685,0.3685082042465
154,"1.14772817498325","-2.12747470573826","2.29105388856388",3.43878206354713,0.16357918282562
155,"1.29411781157133","-2.20270263476086","2.28312103655737",3.5772388481287,0.0804184017965102
156,"1.49133131347659","-2.42031304734955","2.19841019159049",3.68974150506708,-0.22190285575906
157,"1.70725193538537","-2.48649813164309","2.17201911813011",3.87927105351548,-0.31447901351298
158,"0.536566342069592","-1.32686733104915","1.46337546669892",1.99994180876851,0.13650813564977
159,"0.941578767370181","-1.47179182159156","1.4513250873808",2.39290385475098,-0.0204667342107601
160,"0.905388338358982","-1.44017157700179","1.38249951264727",2.28788785100625,-0.0576720643545201
