"","Banks$Tone"
"1462",NA
"1463",NA
"1464",-1
"1465",NA
"1466",-1
"1467",NA
"1468",1
"1469",NA
"1470",NA
"1471",1
"1472",NA
"1473",-1
"1474",NA
"1475",NA
"1476",NA
"1477",0
"1478",NA
"1479",NA
"1480",NA
"1481",NA
"1482",-1
"1483",NA
"1484",1
"1485",NA
"1486",NA
"1487",NA
"1488",-1
"1489",NA
"1490",NA
"1491",NA
"1492",1
"1493",NA
"1494",NA
"1495",NA
"1496",NA
"1497",NA
"1498",NA
"1499",NA
"1500",NA
"1501",1
"1502",NA
"1503",NA
"1504",NA
"1505",-0.333333333333333
"1506",NA
"1507",1
"1508",NA
"1509",NA
"1510",NA
"1511",-1
"1512",-0.5
"1513",1
"1514",NA
"1515",NA
"1516",-1
"1517",NA
"1518",NA
"1519",-1
"1520",1
"1521",1
"1522",0.333333333333333
"1523",NA
"1524",NA
"1525",0.714285714285714
"1526",1
"1527",-1
"1528",NA
"1529",1
"1530",NA
"1531",1
"1532",NA
"1533",NA
"1534",-1
"1535",NA
"1536",-0.333333333333333
"1537",NA
"1538",-0.5
"1539",1
"1540",-1
"1541",-0.714285714285714
"1542",NA
"1543",NA
"1544",-0.2
"1545",NA
"1546",1
"1547",-1
"1548",NA
"1549",-0.6
"1550",NA
"1551",NA
"1552",NA
"1553",NA
"1554",1
"1555",-1
"1556",0
"1557",NA
"1558",0.272727272727273
"1559",1
"1560",NA
"1561",-1
"1562",NA
"1563",NA
"1564",NA
"1565",NA
"1566",1
"1567",0
"1568",NA
"1569",NA
"1570",0.6
"1571",NA
"1572",-1
"1573",NA
"1574",1
"1575",NA
"1576",NA
"1577",NA
"1578",1
"1579",1
"1580",NA
"1581",NA
"1582",-0.25
"1583",NA
"1584",NA
"1585",NA
"1586",NA
"1587",NA
"1588",NA
"1589",NA
"1590",NA
"1591",NA
"1592",1
"1593",NA
"1594",NA
"1595",0
"1596",NA
"1597",-1
"1598",0.333333333333333
"1599",NA
"1600",-1
"1601",-1
"1602",NA
"1603",NA
"1604",NA
"1605",NA
"1606",0
"1607",NA
"1608",-1
"1609",1
"1610",NA
"1611",1
"1612",1
"1613",NA
"1614",NA
"1615",1
"1616",1
"1617",1
"1618",0
"1619",NA
"1620",1
"1621",NA
"1622",0
"1623",NA
"1624",0
"1625",0
"1626",1
"1627",NA
"1628",NA
"1629",NA
"1630",NA
"1631",NA
"1632",-1
"1633",NA
"1634",NA
"1635",-1
"1636",NA
"1637",NA
"1638",-1
"1639",-0.142857142857143
"1640",NA
"1641",1
"1642",NA
"1643",NA
"1644",NA
"1645",NA
"1646",NA
"1647",1
"1648",-1
"1649",NA
"1650",NA
"1651",1
"1652",NA
"1653",NA
"1654",NA
"1655",1
"1656",NA
"1657",NA
"1658",NA
"1659",-1
"1660",NA
"1661",NA
"1662",NA
"1663",1
"1664",NA
"1665",1
"1666",NA
"1667",NA
"1668",NA
"1669",1
"1670",NA
"1671",NA
"1672",NA
"1673",NA
"1674",NA
"1675",1
"1676",NA
"1677",NA
"1678",NA
"1679",NA
"1680",1
"1681",NA
"1682",1
"1683",NA
"1684",1
"1685",1
"1686",1
"1687",0.5
"1688",NA
"1689",1
"1690",NA
"1691",NA
"1692",1
"1693",NA
"1694",NA
"1695",1
"1696",NA
"1697",NA
"1698",-1
"1699",NA
"1700",NA
"1701",1
"1702",1
"1703",NA
"1704",NA
"1705",NA
"1706",NA
"1707",NA
"1708",-1
"1709",NA
"1710",NA
"1711",1
"1712",1
"1713",1
"1714",1
"1715",1
"1716",NA
"1717",-1
"1718",NA
"1719",1
"1720",NA
"1721",1
"1722",NA
"1723",NA
"1724",-1
"1725",NA
"1726",NA
"1727",-1
"1728",NA
"1729",-1
"1730",NA
"1731",-1
"1732",-1
"1733",-1
"1734",1
"1735",-1
"1736",0
"1737",0
"1738",-1
"1739",-1
"1740",1
"1741",NA
"1742",NA
"1743",NA
"1744",-1
"1745",NA
"1746",NA
"1747",-1
"1748",NA
"1749",-1
"1750",NA
"1751",-1
"1752",-1
"1753",-1
"1754",1
"1755",-1
"1756",0
"1757",0
"1758",-1
"1759",-1
"1760",1
"1761",NA
"1762",NA
"1763",NA
"1764",NA
"1765",NA
"1766",NA
"1767",NA
"1768",NA
"1769",NA
"1770",NA
"1771",NA
"1772",1
"1773",NA
"1774",NA
"1775",NA
"1776",NA
"1777",NA
"1778",NA
"1779",NA
"1780",NA
"1781",1
"1782",-0.2
"1783",NA
"1784",NA
"1785",-0.333333333333333
"1786",-1
"1787",NA
"1788",1
"1789",NA
"1790",NA
"1791",-1
"1792",1
"1793",NA
"1794",NA
"1795",-1
"1796",NA
"1797",-0.5
"1798",-1
"1799",NA
"1800",NA
"1801",NA
"1802",-1
"1803",NA
"1804",NA
"1805",0.5
"1806",NA
"1807",0
"1808",NA
"1809",1
"1810",-1
"1811",-1
"1812",NA
"1813",-0.333333333333333
"1814",-0.5
"1815",NA
"1816",0.75
"1817",0
"1818",NA
"1819",-1
"1820",NA
"1821",NA
"1822",NA
"1823",NA
"1824",-1
"1825",NA
"1826",NA
"1827",NA
"1828",1
"1829",-1
"1830",1
"1831",NA
"1832",-1
"1833",-1
"1834",-0.555555555555556
"1835",-1
"1836",NA
"1837",1
"1838",-1
"1839",NA
"1840",NA
"1841",-0.2
"1842",NA
"1843",-1
"1844",1
"1845",1
"1846",-0.428571428571429
"1847",0
"1848",NA
"1849",NA
"1850",-0.454545454545455
"1851",1
"1852",NA
"1853",NA
"1854",-1
"1855",NA
"1856",NA
"1857",-1
"1858",NA
"1859",-0.5
"1860",0
"1861",-0.428571428571429
"1862",NA
"1863",1
"1864",NA
"1865",NA
"1866",-1
"1867",NA
"1868",0
"1869",-1
"1870",-1
"1871",1
"1872",NA
"1873",-1
"1874",-0.428571428571429
"1875",-1
"1876",NA
"1877",-1
"1878",NA
"1879",NA
"1880",-0.333333333333333
"1881",NA
"1882",0.333333333333333
"1883",-1
"1884",1
"1885",0.2
"1886",1
"1887",-1
"1888",1
"1889",1
"1890",NA
"1891",-1
"1892",1
"1893",NA
"1894",NA
"1895",NA
"1896",-0.333333333333333
"1897",1
"1898",-1
"1899",NA
"1900",1
"1901",1
"1902",-0.333333333333333
"1903",1
"1904",-1
"1905",NA
"1906",NA
"1907",NA
"1908",NA
"1909",NA
"1910",NA
"1911",1
"1912",-1
"1913",NA
"1914",-1
"1915",-0.777777777777778
"1916",NA
"1917",NA
"1918",-1
"1919",NA
"1920",NA
"1921",NA
"1922",NA
"1923",1
"1924",NA
"1925",NA
"1926",NA
"1927",-0.777777777777778
"1928",NA
"1929",-1
"1930",-1
"1931",NA
"1932",NA
"1933",NA
"1934",NA
"1935",1
"1936",-1
"1937",NA
"1938",NA
"1939",1
"1940",NA
"1941",NA
"1942",-1
"1943",0
"1944",-1
"1945",NA
"1946",NA
"1947",1
"1948",-1
"1949",1
"1950",-0.25
"1951",0
"1952",0
"1953",1
"1954",0
"1955",-1
"1956",0.5
"1957",NA
"1958",NA
"1959",1
"1960",-1
"1961",NA
"1962",NA
"1963",1
"1964",NA
"1965",NA
"1966",NA
"1967",NA
"1968",0.5
"1969",NA
"1970",NA
"1971",NA
"1972",-0.333333333333333
"1973",NA
"1974",NA
"1975",NA
"1976",NA
"1977",NA
"1978",1
"1979",1
"1980",0
"1981",NA
"1982",NA
"1983",NA
"1984",NA
"1985",NA
"1986",1
"1987",NA
"1988",NA
"1989",NA
"1990",-1
"1991",-1
"1992",NA
"1993",NA
"1994",NA
"1995",1
"1996",1
"1997",1
"1998",NA
"1999",1
"2000",NA
"2001",1
"2002",NA
"2003",-0.333333333333333
"2004",1
"2005",NA
"2006",NA
"2007",NA
"2008",1
"2009",-1
"2010",NA
"2011",-1
"2012",1
"2013",NA
"2014",-1
"2015",0.142857142857143
"2016",-1
"2017",NA
"2018",1
"2019",NA
"2020",0.2
"2021",NA
"2022",1
"2023",0
"2024",NA
"2025",NA
"2026",NA
"2027",NA
"2028",0
"2029",0
"2030",NA
"2031",NA
"2032",NA
"2033",1
"2034",1
"2035",1
"2036",0
"2037",1
"2038",NA
"2039",NA
"2040",1
"2041",NA
"2042",NA
"2043",NA
