Group.1,Group.2,Tone_Household,Tone_Firms,Tone_Banks,Tone_Government,Dummy
Yes,1996-Q2,0.838888889,0.816666667,1,-0.6,C
Yes,1996-Q3,-1,-1,1,NA,C
Yes,1996-Q4,0.066666667,0.666666667,-1,-1,C
Yes,1997-Q1,0.727272727,1,0.666666667,-1,C
Yes,1997-Q2,0.4375,0.783333333,0.273809524,-0.25,C
Yes,1997-Q3,0.416666667,0.777777778,0.333333333,-0.333333333,C
Yes,1997-Q4,0.444444444,1,-0.166666667,0.428571429,C
Yes,1998-Q1,0.650660451,0.683333333,0.666666667,0.111111111,C
Yes,1998-Q2,-0.35,1,0.466666667,1,C
Yes,1998-Q3,0.916666667,0.558333333,0.24,NA,C
Yes,1998-Q4,0.625,-0.00952381,0.46,-1,C
Yes,1999-Q1,0.657142857,0.837301587,0.471428571,0,C
Yes,1999-Q2,0.66795225,1,0.5,-1,C
Yes,1999-Q3,0.792592593,1,0.272727273,NA,C
Yes,1999-Q4,0.64040404,0.598445998,0.728571429,1,C
Yes,2000-Q1,0.651428571,0.470833333,0.5,0,C
Yes,2000-Q2,0.770833333,0.552380952,0.382395382,1,C
Yes,2000-Q3,0.840136054,0.714285714,0.355555556,-1,C
Yes,2000-Q4,0.87,0.785714286,1,1,C
Yes,2001-Q1,0.380952381,0.459259259,-0.057142857,-1,D
Yes,2001-Q2,0.575757576,0.791666667,0.387755102,1,D
Yes,2001-Q3,0,0.56,0,-1,D
Yes,2001-Q4,0.2,-0.022222222,0.466666667,-1,D
Yes,2002-Q1,0.424242424,0.02047619,-0.066666667,0.5,D
Yes,2002-Q2,0.833333333,0.52,0.523809524,1,D
Yes,2002-Q3,-0.2,1,0.833333333,NA,D
Yes,2002-Q4,0.504761905,0.834415584,0.925925926,-0.2,D
Yes,2003-Q1,0.314285714,0.79047619,-0.333333333,-1,D
Yes,2003-Q2,0.266666667,0.565972222,-0.066666667,1,D
Yes,2003-Q3,-0.298412698,1,1,-1,D
Yes,2003-Q4,-0.19047619,0.678787879,0.666666667,-0.25,D
Yes,2004-Q1,0.293650794,0.833333333,1,-1,D
Yes,2004-Q2,-0.102941176,0.415079365,0.376623377,0,D
Yes,2004-Q3,0.266666667,0.422222222,1,1,D
Yes,2004-Q4,0.367099567,0.345238095,0.777777778,1,D
Yes,2005-Q1,0.488888889,0.067460317,0,0.542857143,D
Yes,2005-Q2,0.766081871,0.266666667,0.821499014,0.466666667,D
Yes,2005-Q3,0.714285714,0.5,0.142857143,1,D
Yes,2005-Q4,0.753846154,0.541666667,0.5,-0.777777778,D
Yes,2006-Q1,0.748484848,0.823529412,1,0.666666667,D
Yes,2006-Q2,0.62037037,0.75,-0.142857143,-0.75,D
Yes,2006-Q3,-0.5,1,1,-1,D
Yes,2006-Q4,0.524795717,0.544444444,-0.8,-1,D
Yes,2007-Q1,0.804785096,-0.431578947,0.642857143,-0.5,D
Yes,2007-Q2,0.571428571,-0.788888889,0.875,-1,D
Yes,2007-Q3,0.589277389,0.091666667,-0.584210526,NA,D
Yes,2007-Q4,0.285714286,0.6,-0.854166667,NA,D
Yes,2008-Q1,-0.411764706,0.666666667,-0.796296296,NA,D
Yes,2008-Q2,0.333333333,0.666666667,-1,-1,D
Yes,2008-Q3,-0.571428571,-0.1,-0.555555556,NA,D
Yes,2008-Q4,-0.285714286,1,-0.054761905,1,D
Yes,2009-Q1,0.166666667,0.384615385,-0.236666667,0.833333333,D
Yes,2009-Q2,0.125,1,0.388888889,NA,D
Yes,2009-Q3,0.051851852,0.333333333,-0.276262626,1,D
Yes,2009-Q4,-0.666666667,0.625,0.123809524,0.333333333,D
Yes,2010-Q1,-0.666666667,0.716666667,-0.59,-0.555555556,D
Yes,2010-Q2,0.194117647,0.478571429,-0.637037037,0.25,D
Yes,2010-Q3,-0.107142857,0.36,-0.696969697,-0.657142857,E
Yes,2010-Q4,0.134807256,0.555555556,0.333333333,-0.555555556,E
Yes,2011-Q1,0.125490196,0.428571429,0.148148148,0,E
Yes,2011-Q2,0.238666667,0.5,-0.327272727,1,E
Yes,2011-Q3,0.048888889,-0.185185185,-0.142857143,-0.2,E
Yes,2011-Q4,-0.063095238,0.285714286,-0.791666667,-0.75,E
Yes,2012-Q1,-0.017063492,0.92,-0.858585859,0.166666667,E
Yes,2012-Q2,0.355253212,0.284848485,0.083333333,-1,E
Yes,2012-Q3,0.534126984,1,0.25,-0.5,E
Yes,2012-Q4,0.589635854,1,-1,-1,E
Yes,2013-Q1,0.755128205,1,-0.917948718,-0.6,E
Yes,2013-Q2,0.573015873,0.444444444,-0.742733457,0,E
Yes,2013-Q3,0.725925926,1,-0.066666667,NA,E
Yes,2013-Q4,0.645962779,0.309090909,-0.285714286,0.272727273,E
Yes,2014-Q1,0.566666667,0.45,-0.65,-0.666666667,E
Yes,2014-Q2,0.621212121,1,-0.498095238,0,E
Yes,2014-Q3,0.37037037,0.9,-0.571428571,-1,E
Yes,2014-Q4,0.376666667,1,0.017857143,1,E
Yes,2015-Q1,0.659876543,0.666666667,-0.287698413,0,E
Yes,2015-Q2,0.570923521,0.777777778,-0.75,1,E
Yes,2015-Q3,0.822222222,0.733333333,-0.333333333,-1,E
Yes,2015-Q4,0.572161172,1,0.111111111,-1,E
Yes,2016-Q1,0.533106576,0.861111111,-0.25,1,E
Yes,2016-Q2,0.696818182,0.18,0.2,-1,E
Yes,2016-Q3,0.561111111,0.166666667,0,NA,E
Yes,2016-Q4,0.373015873,0.5,-0.666666667,-0.333333333,E
Yes,2017-Q1,0.684375,0.481481481,-0.1875,0.2,E
Yes,2017-Q2,0.6,1,-0.666666667,-1,E
Yes,2017-Q3,0.530065359,0.3125,0.185185185,-1,E
Yes,2017-Q4,0.9375,0.5,0.8,-1,E
Yes,2018-Q1,0.712037037,0.555555556,-0.066666667,0,E
Yes,2018-Q2,0.822727273,0.833333333,0.176470588,1,E
Yes,2018-Q3,0.904761905,0.333333333,1,-1,E
Yes,2018-Q4,0.418181818,-0.375,-1,-1,E
Yes,2019-Q1,0.831216931,-0.157777778,0,-0.6,E
Yes,2019-Q2,0.675579323,0.148148148,0.15,-1,E
Yes,2019-Q3,0.666666667,0.666666667,0.5,1,E
Yes,2019-Q4,0.617948718,0.458333333,0.666666667,NA,E
Yes,2020-Q1,0.9,0.285714286,0.8,1,E
Yes,2020-Q2,-0.333333333,0,1,NA,E
Yes,2020-Q3,0.123809524,1,0.142857143,0.833333333,E
Yes,2020-Q4,0.092857143,1,0.333333333,1,E
